id,name,summary,space,description,neighborhood_overview,notes,transit,host_about,host_listings_count,host_total_listings_count,latitude,longitude,accommodates,bathrooms,bedrooms,beds,guests_included,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,reviews_per_month,amenities_count,price_float,sd,cf,ep,weekly_price_float,monthly_price_float,host_is_super_host,host_response_rate_float,review_true_score,cancel_policy_code,property_code,neighbourhood_code,room_code,zipcode_code
6575380.0,4.0,43.0,52.0,173.0,178.0,39.0,64.0,135.0,1.0,1.0,47.63430017546052,-122.35705980444612,5.0,1.0,1.0,1.0,1.0,1.0,1125.0,9.0,100.0,10.0,10.0,9.0,9.0,10.0,10.0,1.0,1.99,12.0,150.0,0.0,0.0,0.0,540.0,1911.0,0.0,0.5,1.99,0,10,13,2,9
6004058.0,5.0,43.0,138.0,174.0,83.0,22.0,131.0,89.0,1.0,1.0,47.628343869748115,-122.36640542137962,2.0,1.0,0.0,1.0,1.0,1.0,1125.0,20.0,92.0,9.0,9.0,9.0,9.0,9.0,9.0,1.0,2.29,15.0,100.0,0.0,0.0,0.0,700.0,3041.5,0.0,0.5,2.1068000000000002,0,1,13,1,15
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
8515408.0,5.0,39.0,32.0,145.0,44.0,0.0,22.0,0.0,1.0,1.0,47.63803515893716,-122.36091010563622,2.0,1.0,0.0,1.0,1.0,2.0,1125.0,3.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,1.06,14.0,110.0,0.0,50.0,0.0,700.0,3041.5,0.0,1.0,1.06,1,4,13,1,15
5383192.0,4.0,34.0,44.0,155.0,55.0,33.0,22.0,29.0,1.0,1.0,47.63933158548954,-122.36159942269484,4.0,1.0,1.0,2.0,2.0,2.0,1125.0,1.0,100.0,8.0,10.0,10.0,10.0,10.0,10.0,1.0,0.16,18.0,160.0,100.0,55.0,25.0,1140.0,4953.3,0.0,0.0,0.16,1,10,13,1,15
1112092.0,4.0,0.0,136.0,136.0,0.0,0.0,0.0,98.0,1.0,1.0,47.63530805145543,-122.366531709012,4.0,1.0,1.0,3.0,2.0,3.0,1125.0,26.0,95.0,10.0,10.0,9.0,10.0,10.0,9.0,1.0,0.8,6.0,130.0,140.0,75.0,25.0,1000.0,2700.0,0.0,1.0,0.76,1,10,13,1,15
7772661.0,7.0,37.0,10.0,47.0,0.0,0.0,0.0,0.0,1.0,1.0,47.637374884138524,-122.36941092468905,2.0,1.0,0.0,1.0,2.0,1.0,1125.0,2.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,2.0,18.0,99.0,0.0,50.0,50.0,693.0,3011.09,0.0,1.0,2.0,1,10,13,1,15
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
7714294.0,6.0,42.0,107.0,193.0,89.0,64.0,39.0,59.0,2.0,2.0,47.63175343884966,-122.37127173011557,3.0,1.0,1.0,1.0,2.0,2.0,1125.0,3.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,2.0,0.64,13.0,137.0,0.0,20.0,20.0,815.0,3541.17,0.0,0.0,0.64,1,1,13,1,15
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
